@relation InstanceResultListener

@attribute Key_Dataset {'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayesSimple,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-1478242251770381214,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,818,90,88,2,0,97.777778,2.222222,0,0.956574,0.014893,0.121714,4.389071,29.537718,109.929783,198.520328,-88.590545,1.221442,2.205781,-0.984339,105.518435,1.172427,95.987122,0.982456,56,0.030303,1,0.969697,32,0.017544,1,0.982456,0.982456,0.982456,0.952153,0.997342,0.998542,0.977778,0.020129,0.979871,0.022222,0.979167,0.977778,0.978039,0.956436,0.995926,0.993984,0.965394,0.977778,0,0,0,0,0,0,3613,110796,13972,97.777778,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,89,2,0,97.802198,2.197802,0,0.957427,0.014904,0.12103,4.404371,29.46299,110.586637,58.24957,52.337067,1.215238,0.640105,0.575133,106.321064,1.168363,96.142777,0.965517,56,0,0,1,33,0.034483,2,1,0.965517,0.982456,0.95412,0.998955,0.999425,0.978022,0.005311,0.994689,0.021978,0.979803,0.978022,0.978299,0.957854,0.997213,0.991078,0.965641,0.978022,0,0.001,0,0,0,0,3613,110663,14105,97.802198,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,87,4,0,95.604396,4.395604,0,0.909879,0.030179,0.171322,8.918545,41.70595,110.586637,1129.68999,-1019.103353,1.215238,12.414176,-11.198938,96.73219,1.062991,87.471862,1,58,0.090909,3,0.909091,30,0,0,0.95082,1,0.97479,0.929721,0.97466,0.969583,0.956044,0.062338,0.937662,0.043956,0.957665,0.956044,0.951964,0.920036,0.970276,0.956724,0.887867,0.956044,0.001,0,0,0,0,0,3613,110663,14105,95.604396,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,87,4,0,95.604396,4.395604,0,0.915349,0.029344,0.171173,8.671719,41.669658,110.586637,132.519597,-21.93296,1.215238,1.456259,-0.241022,101.611461,1.116609,91.884032,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.99582,0.99791,0.956044,0.003663,0.996337,0.043956,0.972028,0.956044,0.959871,0.945099,0.994583,0.974067,0.902619,0.956044,0,0,0,0,0,0,3613,110663,14105,95.604396,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,88,3,0,96.703297,3.296703,0,0.93517,0.02243,0.146123,6.628489,35.57153,110.586637,59.529819,51.056818,1.215238,0.654174,0.561064,102.122564,1.122226,92.346206,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.967033,0.006227,0.993773,0.032967,0.969341,0.967033,0.967809,0.960151,0.991386,0.97151,0.913725,0.967033,0.001,0,0,0,0,0,3613,110663,14105,96.703297,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,91,0,0,100,0,0,1,0.000624,0.006314,0.184292,1.537054,110.586637,0.126937,110.459699,1.215238,0.001395,1.213843,110.459699,1.213843,99.885215,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3613,110663,14105,100,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,91,0,0,100,0,0,1,0.000096,0.000536,0.02849,0.130549,110.586637,0.019013,110.567623,1.215238,0.000209,1.215029,110.567623,1.215029,99.982807,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,3613,110663,14105,100,33.333333,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,89,2,0,97.802198,2.197802,0,0.956584,0.015218,0.108454,4.497114,26.401586,110.586637,64.665568,45.921069,1.215238,0.710611,0.504627,106.157455,1.166565,95.994831,0.982759,57,0.030303,1,0.969697,32,0.017241,1,0.982759,0.982759,0.982759,0.952456,0.996865,0.998384,0.978022,0.02023,0.97977,0.021978,0.978022,0.978022,0.978022,0.957792,0.996955,0.979024,0.946634,0.978022,0,0,0,0,0,0,3613,110663,14105,98.901099,34.065934,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,817,91,90,1,0,98.901099,1.098901,0,0.978708,0.008652,0.086743,2.539796,20.958475,111.733776,10.350813,101.382964,1.227844,0.113745,1.114099,109.158904,1.199548,97.695529,1,57,0,0,1,34,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.989274,0.986808,0.999092,0.994126,0.971488,0.989011,0.001,0,0,0,0,0,3613,110663,14105,98.901099,33.699634,?,?,?,?
'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.ReplaceMissingValues',2,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,20211226.122,818,90,88,2,0,97.777778,2.222222,0,0.956374,0.012108,0.100879,3.568379,24.48144,109.929783,50.974791,58.954991,1.221442,0.566387,0.655055,106.421724,1.182464,96.808818,0.982456,56,0.030303,1,0.969697,32,0.017544,1,0.982456,0.982456,0.982456,0.952153,0.99681,0.998329,0.977778,0.020129,0.979871,0.022222,0.977778,0.977778,0.977778,0.957649,0.997712,0.995966,0.946533,0.977778,0,0,0,0,0,0,3613,110796,13972,98.888889,33.703704,?,?,?,?
